Unnamed: 0,Month-Year,Creditos_Personales
0,Jan-03,141
1,Feb-03,157
2,Mar-03,185
3,Apr-03,199
4,May-03,203
5,Jun-03,189
6,Jul-03,207
7,Aug-03,207
8,Sep-03,171
9,Oct-03,150
10,Nov-03,138
11,Dec-03,165
12,Jan-04,145
13,Feb-04,168
14,Mar-04,197
15,Apr-04,208
16,May-04,210
17,Jun-04,209
18,Jul-04,238
19,Aug-04,238
20,Sep-04,199
21,Oct-04,168
22,Nov-04,152
23,Dec-04,196
24,Jan-05,183
25,Feb-05,200
26,Mar-05,249
27,Apr-05,251
28,May-05,289
29,Jun-05,249
30,Jul-05,279
31,Aug-05,279
32,Sep-05,232
33,Oct-05,204
34,Nov-05,194
35,Dec-05,232
36,Jan-06,215
37,Feb-06,239
38,Mar-06,270
39,Apr-06,279
40,May-06,307
41,Jun-06,305
42,Jul-06,322
43,Aug-06,339
44,Sep-06,263
45,Oct-06,241
46,Nov-06,229
47,Dec-06,272
48,Jan-07,247
49,Feb-07,261
50,Mar-07,330
51,Apr-07,362
52,May-07,385
53,Jun-07,340
54,Jul-07,370
55,Aug-07,381
56,Sep-07,299
57,Oct-07,266
58,Nov-07,239
59,Dec-07,281
60,Jan-08,257
61,Feb-08,250
62,Mar-08,329
63,Apr-08,350
64,May-08,393
65,Jun-08,370
66,Jul-08,423
67,Aug-08,410
68,Sep-08,326
69,Oct-08,289
70,Nov-08,270
71,Dec-08,321
72,Jan-09,305
73,Feb-09,310
74,Mar-09,374
75,Apr-09,414
76,May-09,454
77,Jun-09,441
78,Jul-09,510
79,Aug-09,486
80,Sep-09,393
81,Oct-09,345
82,Nov-09,315
83,Dec-09,389
84,Jan-10,358
85,Feb-10,368
86,Mar-10,444
87,Apr-10,482
88,May-10,534
89,Jun-10,524
90,Jul-10,578
91,Aug-10,567
92,Sep-10,447
93,Oct-10,386
94,Nov-10,360
95,Dec-10,428
96,Jan-11,397
97,Feb-11,400
98,Mar-11,498
99,Apr-11,536
100,May-11,596
101,Jun-11,591
102,Jul-11,651
103,Aug-11,654
104,Sep-11,509
105,Oct-11,437
106,Nov-11,406
107,Dec-11,470
108,Jan-12,428
109,Feb-12,423
110,Mar-12,507
111,Apr-12,536
112,May-12,610
113,Jun-12,609
114,Jul-12,687
115,Aug-12,707
116,Sep-12,509
117,Oct-12,452
118,Nov-12,412
119,Dec-12,472
120,Jan-13,454
121,Feb-13,455
122,Mar-13,568
123,Apr-13,610
124,May-13,706
125,Jun-13,661
126,Jul-13,767
127,Aug-13,783
128,Sep-13,583
129,Oct-13,513
130,Nov-13,481
131,Dec-13,567
132,Jan-14,525
133,Feb-14,520
134,Mar-14,587
135,Apr-14,710
136,May-14,793
137,Jun-14,749
138,Jul-14,871
139,Aug-14,848
140,Sep-14,640
141,Oct-14,581
142,Nov-14,519
143,Dec-14,605
