RetrasoLlegada,RetrasoSalida
13,4
22,3
-7,-3
33,35
-9,-1
183,87
-3,-1
15,4
-10,8
10,40
-8,3
-4,10
-4,1
90,95
-15,-11
26,-7
26,28
-11,-3
-5,4
1,-5
-16,0
-12,5
-14,-2
0,-8
-16,-20
-4,-4
54,47
-6,1
25,29
1,-2
-5,-4
9,7
0,2
8,-3
8,11
-20,-5
-9,-7
23,8
-9,-4
34,17
-9,1
151,137
-5,-2
2,-4
-10,2
-3,-3
-6,-3
7,-1
-17,-7
-2,0
5,9
15,16
-3,-1
3,-1
87,88
20,43
-22,-13
-23,-9
-17,-9
-18,-3
-23,-6
-25,-3
-14,-8
19,1
14,6
-13,-5
0,-2
-3,0
105,108
-5,0
-3,-1
15,0
-20,0
44,58
8,7
-14,-2
5,-4
-16,-6
-9,-3
-12,3
-17,1
-10,-3
1,-5
-26,7
-12,-5
5,-4
-13,-5
39,18
-21,-5
-14,1
-1,8
-16,-2
14,18
18,10
158,160
-17,-4
16,25
11,9
-5,-10
-7,-4
-26,-1
-7,-3
28,19
12,26
-10,0
-8,2
26,-5
16,13
-18,-5
-20,-1
-17,-2
-6,-3
-4,-4
-6,-9
-12,-4
0,-4
-2,5
120,98
-7,0
-8,-4
28,25
21,-4
1,-8
4,3
5,32
-1,7
-2,1
-35,-3
3,0
7,8
46,49
-6,-4
-7,-4
-10,12
-36,9
138,142
-19,-3
-3,-5
-13,-3
-14,-5
15,-1
-9,2
310,280
1,0
1,-5
0,1
-9,-8
-11,-2
1,-1
-21,-6
-21,-5
18,5
189,190
17,-4
-11,-1
12,21
22,16
278,208
-6,-2
-14,0
-20,-3
-16,-1
-3,-5
-12,-5
72,51
6,8
4,2
-7,-7
2,0
-7,-4
109,120
0,0
10,18
-4,0
-5,-6
-7,-9
3,6
-24,-10
-6,-6
-2,-9
-8,0
4,9
29,26
12,26
-3,-3
0,-5
3,0
42,34
-17,-2
83,89
48,58
-13,-2
-19,-9
-20,-7
-16,-3
5,-5
1,1
-19,-3
-12,-10
29,45
0,-5
43,29
-6,0
-21,2
-18,2
33,34
-10,-1
-6,3
-30,-6
35,-6
15,-10
5,2
-5,-5
-8,5
-15,-2
-19,-12
-1,-6
-27,-9
-1,7
-12,-3
-15,2
-10,-2
42,41
-11,-2
13,-3
53,50
-10,-2
-17,-5
-26,18
-20,1
52,55
-9,-7
-21,-7
22,-2
-17,2
3,-6
1,6
-8,0
140,126
-10,-3
60,67
-12,0
17,-3
-8,-7
-17,-12
75,93
8,33
-17,10
-16,-2
87,90
22,0
-20,-7
-19,-2
-12,0
-6,-1
-2,1
-24,-7
11,4
14,12
-7,-6
-15,-11
-8,-4
22,11
1,16
-6,1
-18,1
93,80
18,18
-20,-4
-11,-3
-14,-4
-1,16
-12,-4
-7,-1
36,37
-13,-4
-11,1
11,-5
1,14
15,21
14,17
-10,-6
-10,-4
3,-3
-12,-9
-4,-5
26,16
-4,2
23,25
-29,-6
-9,-10
-16,-2
12,2
59,62
9,14
-24,5
31,35
-18,-6
11,14
3,9
0,22
-24,-6
8,18
15,5
-7,3
-3,0
-3,-2
-3,4
-27,-12
-1,10
-1,-1
-11,0
5,11
-2,13
-15,-6
-5,-1
30,32
34,25
3,3
-9,0
1,-2
56,74
10,10
-6,-11
-2,-4
40,48
20,25
-13,-7
-7,-7
-11,-4
-4,-2
-4,-2
43,54
-2,20
-1,2
1,3
-13,-4
-26,6
44,52
193,206
0,1
-11,-6
11,2
-13,-5
-6,-3
31,31
14,0
5,-5
-23,-5
25,21
7,7
-2,3
-16,-4
-23,-1
32,58
-2,-4
204,210
103,106
-16,-9
0,0
-13,-5
-1,-5
-2,0
-10,-2
-18,-9
-4,-5
-11,-4
-13,-3
46,54
18,27
-22,-5
-2,-2
-4,-1
-1,-2
16,24
31,29
0,-2
39,26
16,20
-7,-3
-3,4
25,4
3,4
23,38
-19,-7
-11,-3
-12,-5
5,5
52,59
-19,2
3,10
26,34
2,-6
-15,-10
-7,-11
3,0
-20,-4
-6,-5
19,28
-32,-3
-13,-4
-9,3
-7,-1
-12,0
-26,0
-9,-4
-18,-2
10,-7
-8,-2
4,-2
24,25
1,2
-4,14
-24,-7
-6,0
19,21
42,24
-11,-4
3,8
34,32
-10,1
-10,0
-11,2
-9,7
-33,-7
23,14
-4,-8
-15,-10
-5,5
0,0
-17,-6
47,30
-13,-4
9,3
-10,0
-12,-8
-3,-3
-5,-2
27,27
-18,2
-15,-4
69,48
18,30
46,66
45,40
-28,-2
-10,-8
3,8
-1,2
41,34
14,-2
-13,0
7,0
-3,0
-12,-5
113,98
9,10
0,0
-10,0
-8,-2
48,46
55,54
-14,-3
-23,-4
17,16
19,29
15,17
-9,8
1,4
-9,6
10,0
133,140
33,43
0,5
-15,-7
-1,17
-10,-3
-4,-6
3,-6
67,72
3,24
-9,-3
-8,-5
-13,-5
159,164
2,16
-6,1
31,42
-9,-1
9,6
-7,-1
-3,-3
135,155
-3,6
-17,-1
-3,-1
1,0
-5,-9
20,21
12,1
-5,1
-2,-5
-9,-1
-6,-2
-12,-11
-31,-3
-8,-5
-2,1
7,-3
1,-1
-10,-6
-16,-8
238,188
14,25
-2,-2
13,24
1,-5
-9,-7
-13,-2
-4,-1
-20,-6
-19,-3
3,9
-5,-3
39,11
-10,-6
45,58
-19,-5
0,7
48,59
-4,3
-11,12
-9,-6
14,17
23,27
-1,0
7,1
0,-4
16,0
9,-2
14,9
-3,1
0,-1
-25,-15
15,-2
0,0
-18,-4
-13,-12
-6,-1
-6,-6
0,7
-23,-4
-8,-6
31,29
0,0
-21,-4
-4,6
-12,-7
-15,-9
-10,5
-10,-4
-10,-2
-29,-6
0,2
31,45
-13,-3
23,-2
-2,-3
31,43
-12,1
0,0
-2,0
0,0
108,81
-27,-7
-7,4
-14,-6
-7,-1
-14,1
-19,0
-18,-6
-16,-1
-17,-2
-7,13
-18,-6
-7,8
-14,-5
10,-1
7,11
-7,-1
6,23
12,-2
-11,-2
-1,-2
-1,-2
-11,-2
-10,-8
-13,-1
-3,11
7,4
4,7
10,5
-13,-6
66,48
0,-1
2,-4
-2,-3
0,15
-6,-4
13,15
-24,0
-6,0
14,14
-7,-4
-5,-2
39,44
-2,-5
0,-6
19,29
65,89
-17,1
-7,-5
52,57
-8,-4
-10,3
-1,0
25,10
2,1
208,204
5,17
-25,-9
72,90
-4,-9
-13,-8
-19,-2
-15,-5
-10,-4
15,12
0,245
-22,-9
-11,-6
-6,0
16,-1
44,52
-7,-7
6,-3
-5,-10
-4,-6
-2,-1
1,-9
-4,6
22,19
9,10
14,17
12,22
-4,1
-27,-3
-20,-10
15,10
7,5
108,109
69,67
-9,-2
-7,-2
-8,-7
-18,-9
0,0
16,34
-21,-8
-23,-6
-2,-6
-10,-6
0,0
-16,-2
-13,-1
33,42
20,20
-27,0
0,0
26,28
58,21
-6,2
-2,-2
-22,-6
19,1
-9,-2
12,1
-16,-6
19,22
-18,-7
-3,3
204,164
-3,-1
0,10
11,3
-9,-3
-10,-3
-2,0
0,-2
-23,-10
-10,-10
-2,1
8,6
9,15
-4,1
-2,-2
5,0
2,-6
-2,-4
0,4
-11,-4
19,18
27,48
-11,-3
49,36
11,27
-5,-9
-8,10
-6,-7
0,0
28,28
-15,8
-5,1
8,12
0,6
3,7
1,-2
88,-4
15,-1
-13,-9
-8,5
-12,-1
27,26
-2,3
-11,-3
1,-12
-17,-5
4,2
-19,-9
-6,-3
10,9
-17,-10
60,62
135,165
-8,0
-2,-5
-12,-6
-6,-1
-7,-4
11,-4
-17,-3
-45,-3
-24,-1
9,15
-11,-3
-8,-2
46,49
-11,-8
-1,-2
3,-2
6,0
-15,-7
-10,-8
-9,-2
-5,0
-10,-7
-15,-3
32,42
28,30
-11,-7
-11,-7
-5,-1
5,-7
-11,-3
-32,-6
28,26
-20,-1
96,98
11,-7
-12,0
22,30
-12,-2
33,-5
-13,-7
-12,-5
17,16
-14,-6
28,25
5,-5
0,-1
-34,-3
10,-2
-9,-7
4,8
60,87
-1,4
8,5
3,11
3,4
-19,-2
-2,-16
-7,3
-8,0
5,6
-11,6
-5,-3
-12,8
3,-1
27,32
8,-1
-16,-9
-25,3
-8,-6
9,11
-4,-3
59,-1
-11,-3
-19,-3
10,-4
-6,-5
-25,-11
-35,-11
2,-2
21,37
-6,-2
75,64
-3,-1
2,-9
-2,-5
-7,-5
30,31
15,32
-12,-6
-17,2
-3,-5
-12,-2
-19,-5
-16,-6
-21,-9
-23,-1
-15,2
-7,-4
8,20
56,56
138,119
-5,0
-13,-4
9,18
-14,-4
-1,-4
6,-4
-24,1
-13,-2
-3,0
-19,-4
9,-7
22,-1
0,3
-1,-5
6,8
-18,-1
11,6
-1,-4
85,42
-4,11
8,-2
6,11
18,15
-9,-7
-3,10
-9,0
1,-10
-15,-3
16,-3
-13,-6
39,41
-32,-10
-7,-7
-23,-6
11,9
49,42
-16,-3
9,-2
10,14
106,113
16,34
9,7
56,62
27,-5
-4,-5
-1,12
-7,19
9,-3
-6,-7
24,20
-18,-3
18,10
51,25
10,8
34,36
-6,-8
22,25
2,8
-10,-2
-5,-3
-9,-5
-11,-3
-12,-2
-2,-1
5,-7
-11,0
6,-17
0,-3
-4,-2
-21,-6
9,0
0,0
-21,-5
133,129
0,0
1,-2
42,-1
-10,-2
11,3
0,0
-18,-6
-11,-7
-1,-7
88,93
-21,-5
-11,-1
-4,0
-11,-4
7,5
23,27
-8,-3
-13,-5
-33,-4
-14,-8
-8,-6
-12,-6
30,35
77,77
3,9
-26,-6
-17,6
-25,-1
-4,-1
-23,-5
-31,-10
-22,0
46,47
125,130
-8,-5
-4,-1
2,0
58,68
-10,-9
1,0
-10,-5
-13,4
-12,1
0,0
-26,-7
-2,-6
100,97
-12,-10
-3,14
6,9
2,3
19,39
0,7
11,24
11,14
-24,-7
14,33
-13,-7
-6,-3
-7,-3
-6,-4
-19,-2
-22,-3
-8,-2
-26,-6
19,20
5,5
1,-8
-10,0
-13,-1
2,-3
11,12
-10,-3
-13,-4
-10,0
-14,0
347,361
-17,-7
14,2
32,5
8,14
-7,4
4,12
-2,12
198,200
-20,0
-4,0
-4,-6
-12,-2
-13,0
-12,-5
8,-4
197,204
-7,1
-3,1
-8,-5
-7,-1
17,14
-8,-2
-14,-2
-5,-5
-6,1
-9,-3
21,7
-11,-3
11,13
-3,14
-3,-4
-16,-3
234,203
2,-6
0,-8
