citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;taste
0.4;6.1;0.034;36.0;118.0;0.99144;3.21;0.43;12.1;7;3167
0.51;2.0;0.046;11.0;207.0;0.993;3.02;0.55;11.4;5;324
0.38;10.5;0.031;53.0;140.0;0.99321;3.34;0.46;11.7;6;4731
0.3;5.0;0.04;40.0;143.0;0.99173;3.33;0.42;12.2;7;2305
0.26;1.4;0.041;40.0;141.0;0.9941;3.34;0.72;9.5;6;1777
0.4;7.3;0.041;49.0;115.0;0.99268;3.21;0.43;11.0;6;3185
0.29;14.4;0.046;39.0;118.0;0.99834;3.05;0.5;9.1;6;2929
0.49;1.8;0.041;23.0;86.0;0.9914;3.16;0.42;12.5;6;1498
0.24;1.2;0.034;17.0;121.0;0.9933;3.13;0.36;9.2;5;1502
0.26;3.3;0.038;40.0;153.0;0.9911;3.34;0.55;11.3;6;1006
0.26;11.7;0.038;61.0;152.0;0.99523;3.02;0.56;10.5;7;3666
0.25;2.0;0.041;30.0;95.0;0.99078;3.27;0.56;11.1;6;4112
0.4;11.6;0.032;34.0;214.0;0.9963;3.1;0.51;9.8;6;3418
0.49;3.0;0.03;30.0;96.0;0.9903;3.13;0.39;12.3;7;1467
0.37;3.4;0.023;19.0;87.0;0.9902;3.14;0.53;12.7;6;1225
0.3;7.4;0.05;58.0;152.0;0.99612;3.12;0.37;9.5;6;2767
0.33;1.2;0.05;41.0;103.0;0.99002;3.0;0.45;12.4;6;3837
0.36;1.0;0.034;17.0;93.0;0.9906;3.04;0.32;11.7;8;1216
0.29;1.1;0.035;44.0;140.0;0.99142;3.17;0.55;10.7;7;4796
0.37;1.5;0.049;28.0;129.0;0.99226;3.15;0.52;10.8;5;3882
0.31;2.7;0.03;41.0;136.0;0.9898;3.16;0.37;12.7;7;420
0.23;17.3;0.047;37.0;118.0;0.99906;3.08;0.46;8.8;6;4421
0.16;7.0;0.045;30.0;136.0;0.9949;3.18;0.47;9.6;6;6
0.28;12.5;0.046;80.0;225.0;0.99685;3.18;0.41;10.0;6;932
0.04;1.2;0.06;23.0;108.0;0.9934;3.26;0.54;9.2;5;439
0.42;1.3;0.046;14.0;186.0;0.9949;3.08;0.48;9.6;5;1313
0.38;4.75;0.033;23.0;94.0;0.991;3.42;0.42;11.8;7;678
0.32;3.1;0.041;18.0;126.0;0.9914;3.43;0.42;12.0;6;2118
0.2;2.0;0.048;48.0;191.0;0.9929;3.17;0.51;9.6;5;4521
0.42;6.4;0.058;27.0;151.0;0.9954;3.16;0.44;9.6;5;1703
0.32;12.2;0.048;36.0;125.0;0.9967;2.92;0.54;9.4;6;2189
0.37;9.1;0.037;16.0;76.0;0.9948;3.05;0.54;11.1;5;4542
0.37;6.1;0.027;38.0;112.0;0.99086;3.19;0.34;12.4;6;3046
0.33;8.5;0.042;29.0;141.0;0.99546;3.28;0.6;10.4;5;3074
0.28;1.8;0.028;39.0;132.0;0.99182;3.34;0.46;11.4;5;2570
0.57;15.0;0.052;35.0;256.0;1.0001;2.93;0.64;8.6;5;1942
0.26;9.9;0.059;33.0;181.0;0.9955;3.04;0.42;10.9;6;1770
0.38;1.5;0.061;12.0;120.0;0.99192;3.18;0.46;10.4;5;4163
0.34;1.4;0.04;25.0;184.0;0.99216;3.29;0.46;10.7;5;3757
0.5;12.1;0.045;38.0;127.0;0.9974;3.04;0.53;8.9;6;4791
0.44;3.6;0.2;75.0;181.0;0.9942;3.02;0.41;9.1;5;194
0.24;3.6;0.057;13.0;85.0;0.9942;2.99;0.48;9.5;4;1474
0.27;1.6;0.057;45.0;98.0;0.99299;3.29;0.44;9.9;7;3875
0.39;6.7;0.064;28.0;188.0;0.9958;3.29;0.3;9.7;5;1211
0.28;1.4;0.046;26.0;66.0;0.99199;3.43;0.48;11.1;6;2354
0.49;7.8;0.06;34.0;162.0;0.9966;3.26;0.58;11.3;6;1657
0.3;0.9;0.019;4.0;28.0;0.98931;3.2;0.36;12.0;6;2605
0.27;9.7;0.036;15.0;85.0;0.99406;2.99;0.36;11.2;6;3565
0.46;11.1;0.053;44.0;177.0;0.99691;3.18;0.67;9.4;5;2610
0.2;3.7;0.039;34.0;132.0;0.99158;3.0;0.38;10.7;5;3820
0.34;1.6;0.04;43.0;148.0;0.9912;3.32;0.59;11.5;8;1723
0.28;1.2;0.048;36.0;159.0;0.9936;3.19;0.43;9.1;6;1130
0.49;5.4;0.048;54.0;164.0;0.9946;3.56;0.44;10.8;6;1461
0.41;9.1;0.044;50.0;166.0;0.9954;3.14;0.58;9.8;6;276
0.3;6.8;0.056;26.0;105.0;0.9954;3.44;0.4;9.6;6;2146
0.55;14.6;0.053;34.0;159.0;0.99805;2.93;0.44;9.2;5;2307
0.27;8.4;0.057;60.0;160.0;0.99257;3.16;0.36;11.8;6;4068
0.42;6.4;0.067;39.0;212.0;0.9958;3.3;0.33;9.6;6;1302
0.36;4.5;0.054;31.0;203.0;0.99513;3.4;0.57;10.4;4;3109
0.25;1.4;0.03;35.0;105.0;0.9912;3.3;0.44;11.1;7;222
0.12;5.9;0.056;6.0;91.0;0.99536;3.06;0.46;8.4;4;4020
0.34;3.5;0.054;26.0;189.0;0.99489;3.42;0.58;10.4;5;3036
0.34;2.7;0.032;49.0;151.0;0.99;3.16;0.39;12.7;7;573
0.37;3.4;0.023;19.0;87.0;0.9902;3.14;0.53;12.7;6;1236
0.28;4.3;0.026;22.0;105.0;0.989;2.98;0.64;13.1;8;3422
0.31;4.9;0.031;20.0;151.0;0.9926;3.36;0.82;12.0;7;2057
0.5;1.2;0.048;26.0;107.0;0.9918;3.21;0.34;12.4;6;1334
0.37;1.2;0.034;5.0;57.0;0.99256;3.05;0.54;10.4;3;2373
0.27;1.2;0.041;27.0;99.0;0.9927;3.19;0.33;9.8;6;418
0.27;10.7;0.076;47.0;154.0;0.9967;3.05;0.38;9.0;5;2123
0.69;10.2;0.041;58.0;160.0;0.9977;3.06;0.45;8.6;5;1104
0.3;5.7;0.035;8.0;97.0;0.9927;3.27;0.41;11.0;7;257
0.27;1.2;0.046;34.0;175.0;0.9934;3.37;0.54;9.4;6;295
0.28;8.3;0.034;29.0;81.0;0.99151;2.96;0.39;12.5;6;3352
0.56;1.5;0.026;24.0;115.0;0.9906;3.48;0.39;10.8;7;386
0.22;16.65;0.044;39.0;110.0;0.99855;3.24;0.48;9.0;6;3558
0.5;12.1;0.049;48.0;122.0;0.9973;3.01;0.44;9.0;5;4120
0.19;3.4;0.049;47.0;172.0;0.9924;3.14;0.43;10.4;6;2254
0.26;14.8;0.053;44.0;95.0;0.99676;3.2;0.35;9.8;6;4252
0.22;4.6;0.022;29.0;107.0;0.98889;3.33;0.54;13.8;6;4560
0.32;1.5;0.044;19.0;142.0;0.9921;3.1;0.43;9.9;6;1717
0.25;11.2;0.048;32.0;136.0;0.99663;3.14;0.4;9.5;5;4367
0.74;1.8;0.033;33.0;156.0;0.991;3.29;0.52;12.8;6;1563
0.28;4.5;0.046;33.0;102.0;0.9918;3.16;0.56;12.2;7;1769
0.36;13.1;0.05;35.0;200.0;0.9986;3.04;0.46;8.9;7;1400
0.43;1.6;0.035;31.0;128.0;0.9916;3.1;0.5;12.3;6;712
0.43;10.9;0.045;53.0;154.0;0.99752;3.52;0.77;10.4;6;2267
0.36;18.1;0.046;32.0;133.0;1.0;3.27;0.48;8.8;5;2497
0.36;11.1;0.032;21.0;132.0;0.99313;2.95;0.39;13.0;6;2889
0.62;6.3;0.042;7.0;109.0;0.99358;2.96;0.59;10.2;6;3808
0.3;1.6;0.034;15.0;78.0;0.992;3.38;0.44;11.2;6;1289
0.29;1.6;0.052;34.0;127.0;0.9929;3.48;0.56;10.5;7;449
0.2;17.9;0.066;36.0;161.0;0.9991;3.14;0.51;8.8;5;3951
0.33;3.5;0.049;10.0;40.0;0.9944;3.14;0.36;9.8;6;4522
0.32;1.1;0.039;25.0;78.0;0.9926;3.39;0.54;10.2;7;958
0.32;1.5;0.05;17.0;101.0;0.994;3.14;0.58;9.5;5;2086
0.37;2.5;0.048;70.0;138.0;0.9917;3.33;0.75;11.4;7;654
0.29;1.6;0.052;48.0;185.0;0.9934;3.21;0.5;9.4;5;4040
0.31;2.3;0.054;22.0;104.0;0.9924;3.24;0.92;11.5;7;1862
0.28;1.4;0.039;12.0;83.0;0.99173;3.18;0.65;11.1;5;4472
0.36;1.2;0.046;9.0;71.0;0.99199;3.7;0.68;10.9;7;2646
0.57;1.4;0.208;14.0;96.0;0.9932;3.16;0.43;10.0;6;1926
0.36;12.7;0.04;38.0;140.0;0.998;3.3;0.79;9.6;6;411
0.33;1.4;0.029;35.0;138.0;0.99114;3.36;0.6;11.5;7;2521
0.25;17.1;0.05;44.0;138.0;1.0001;3.3;0.37;8.8;5;2110
0.42;10.6;0.042;66.0;202.0;0.99674;3.24;0.53;9.5;6;2297
0.29;10.3;0.039;41.0;98.0;0.99564;3.19;0.38;9.8;8;2943
0.23;12.4;0.048;33.0;201.0;0.99612;3.11;0.56;9.9;6;4228
0.14;1.3;0.036;69.0;168.0;0.99212;3.47;0.46;10.5;5;4679
0.36;14.6;0.048;35.0;161.0;0.9968;3.14;0.56;10.6;5;3576
0.31;7.35;0.034;37.0;154.0;0.9938;3.06;0.31;10.8;5;1874
0.28;1.3;0.026;10.0;56.0;0.99352;3.46;0.45;9.9;5;2572
0.34;1.1;0.034;49.0;158.0;0.98774;3.32;0.32;13.1;7;4645
0.45;4.2;0.043;52.0;131.0;0.99162;3.06;0.54;11.3;6;3250
0.19;7.1;0.048;36.0;110.0;0.99438;3.26;0.41;9.5;6;3959
0.29;9.7;0.044;33.0;98.0;0.99536;3.12;0.36;9.2;6;3447
0.5;13.3;0.053;48.0;194.0;0.9974;3.09;0.45;9.4;5;430
0.34;1.6;0.043;24.0;129.0;0.99305;3.12;0.7;10.4;5;3121
0.41;13.7;0.045;44.0;197.0;0.9989;3.18;0.64;9.1;5;1891
0.41;0.9;0.037;22.0;95.0;0.9914;3.25;0.43;10.9;6;1366
0.28;14.0;0.053;83.0;197.0;0.9981;3.14;0.45;9.8;6;1859
0.42;8.2;0.044;60.0;196.0;0.99562;3.14;0.48;9.4;5;3289
0.35;11.1;0.039;29.0;198.0;0.9984;3.36;0.5;9.4;7;1176
0.25;7.5;0.03;18.0;117.0;0.99116;3.09;0.38;13.0;6;3977
0.49;8.7;0.028;40.0;184.0;0.9962;3.22;0.36;10.7;5;1476
1.0;1.1;0.154;46.0;114.0;0.9931;2.95;0.43;9.2;6;3043
0.3;2.7;0.029;64.0;158.0;0.9916;3.12;0.59;12.0;7;1907
0.24;12.1;0.05;55.0;164.0;0.997;3.34;0.39;9.4;5;102
0.29;7.6;0.035;37.0;122.0;0.9939;3.16;0.34;12.0;5;1788
0.24;9.0;0.03;42.0;219.0;0.99636;3.47;0.46;10.2;6;2628
0.46;1.45;0.039;77.5;223.0;0.9944;2.92;0.46;9.5;6;1263
0.23;1.1;0.066;22.0;148.0;0.99266;3.3;0.47;9.63333333333333;5;4864
0.32;1.1;0.022;48.0;116.0;0.99218;3.04;0.67;10.0;6;3550
0.33;3.6;0.034;9.0;45.0;0.99144;3.08;0.4;10.5;6;2743
0.24;6.0;0.042;28.0;123.0;0.99304;3.14;0.44;11.3;5;2955
0.24;9.6;0.119;56.0;178.0;0.99578;3.15;0.44;10.2;6;2644
0.34;1.4;0.04;25.0;184.0;0.99216;3.29;0.46;10.7;5;3752
0.43;7.6;0.03;30.0;110.0;0.99164;3.08;0.59;12.5;8;3062
0.32;1.4;0.021;22.0;121.0;0.9889;3.15;0.53;12.7;7;2867
0.49;12.3;0.049;50.0;144.0;0.9971;3.09;0.57;10.2;7;1643
0.23;17.3;0.047;37.0;118.0;0.99906;3.08;0.46;8.8;6;4419
0.33;4.7;0.023;28.0;110.0;0.991;3.3;0.38;12.5;7;2016
0.49;15.4;0.046;13.0;119.0;1.0004;3.18;0.45;9.5;5;1580
0.27;13.9;0.057;45.0;155.0;0.99807;2.94;0.41;8.8;8;4336
0.17;1.6;0.048;46.0;129.0;0.991;3.3;0.43;11.4;6;3988
0.41;15.4;0.05;55.0;191.0;1.0;3.32;0.59;8.9;6;1356
0.3;1.3;0.036;7.0;49.0;0.99242;2.99;0.73;10.3;5;3800
0.29;3.9;0.034;62.0;140.0;0.99237;3.1;0.59;11.1;6;4241
0.27;2.6;0.033;25.0;85.0;0.99086;3.05;0.34;11.7;6;4201
0.4;17.85;0.049;50.0;185.0;1.0;3.34;0.42;9.6;5;1888
0.52;13.2;0.047;64.0;179.0;0.9982;3.1;0.46;9.0;5;2142
0.42;1.8;0.031;30.0;93.0;0.9917;3.09;0.39;11.4;5;396
