fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;alcohol;quality;taste
7.5;0.29;0.36;15.7;0.05;29.0;124.0;10.4;5;3320
6.9;0.42;0.2;15.4;0.043;57.0;201.0;9.4;5;4271
7.6;0.28;0.39;1.9;0.052;23.0;116.0;10.4;6;1370
6.9;0.22;0.37;15.0;0.053;59.0;178.0;9.5;7;782
7.1;0.23;0.39;1.6;0.032;12.0;65.0;12.7;7;491
6.9;0.38;0.32;8.5;0.044;36.0;152.0;12.0;7;1380
8.2;0.37;0.36;1.0;0.034;17.0;93.0;11.7;8;1219
6.3;0.305;0.22;16.0;0.061;26.0;141.0;9.1;5;4415
8.6;0.18;0.28;0.8;0.032;25.0;78.0;11.1;5;2898
6.4;0.45;0.07;1.1;0.03;10.0;131.0;10.8;5;602
5.8;0.15;0.49;1.1;0.048;21.0;98.0;9.2;5;1656
6.4;0.29;0.44;3.6;0.2;75.0;181.0;9.1;5;194
6.0;0.28;0.27;2.3;0.051;23.0;147.0;10.3;6;2201
8.4;0.17;0.31;6.7;0.038;29.0;132.0;10.6;7;1093
6.8;0.28;0.35;2.3;0.042;16.0;85.0;12.4;6;2101
6.2;0.32;0.32;2.2;0.036;15.0;70.0;12.7;6;4516
6.9;0.4;0.42;6.2;0.066;41.0;176.0;9.4;5;2788
9.0;0.17;0.49;1.0;0.039;46.0;131.0;10.5;7;1624
6.7;0.23;0.33;1.8;0.036;23.0;96.0;10.8;6;2061
6.3;0.29;0.3;8.1;0.212;60.0;150.0;9.3;5;4497
7.2;0.16;0.35;1.2;0.031;27.0;84.0;9.9;5;1938
7.1;0.2;0.34;16.0;0.05;51.0;166.0;9.2;6;81
7.1;0.23;0.35;16.5;0.04;60.0;171.0;9.1;6;108
6.7;0.3;0.5;12.1;0.045;38.0;127.0;8.9;6;4783
5.9;0.23;0.28;8.6;0.046;37.0;142.0;10.6;6;4082
8.3;0.41;0.51;2.0;0.046;11.0;207.0;11.4;5;324
7.2;0.22;0.28;7.2;0.06;41.0;132.0;11.3;6;3362
6.7;0.24;0.36;8.4;0.042;42.0;123.0;10.9;6;3501
7.0;0.13;0.3;5.0;0.056;31.0;122.0;10.5;6;1724
7.1;0.2;0.36;11.6;0.042;45.0;124.0;9.5;7;2230
7.0;0.21;0.37;7.2;0.042;36.0;167.0;9.8;6;825
5.9;0.22;0.45;22.6;0.12;55.0;122.0;12.8;5;4480
6.8;0.11;0.27;8.6;0.044;45.0;104.0;9.9;6;3986
6.8;0.22;0.31;6.3;0.035;33.0;170.0;12.6;6;404
7.6;0.32;0.58;16.75;0.05;43.0;163.0;9.2;5;2173
6.2;0.36;0.45;10.4;0.06;22.0;184.0;9.8;6;3478
6.4;0.32;0.23;16.2;0.055;36.0;176.0;9.1;5;3845
7.0;0.32;0.34;1.3;0.042;20.0;69.0;12.0;7;77
6.9;0.22;0.31;6.3;0.029;41.0;131.0;10.8;6;2933
7.3;0.2;0.29;19.5;0.039;69.0;237.0;9.2;6;3545
5.6;0.175;0.29;0.8;0.043;20.0;67.0;9.9;6;2512
7.2;0.34;0.44;4.2;0.047;51.0;144.0;12.3;6;559
8.7;0.22;0.42;2.3;0.053;27.0;114.0;10.0;5;1133
7.3;0.2;0.29;19.9;0.039;69.0;237.0;9.2;6;3547
5.9;0.435;0.16;6.4;0.031;21.0;134.0;12.2;6;3894
6.5;0.28;0.35;15.4;0.042;55.0;195.0;9.6;6;328
6.6;0.22;0.3;14.7;0.045;50.0;136.0;10.6;6;3533
7.4;0.28;0.3;5.3;0.054;44.0;161.0;10.3;6;986
6.4;0.69;0.09;7.6;0.044;34.0;144.0;10.1;6;4702
6.0;0.21;0.38;0.8;0.02;22.0;98.0;11.8;6;4897
6.3;0.28;0.29;6.8;0.051;40.0;143.0;11.0;6;3749
9.9;0.49;0.23;2.4;0.087;19.0;115.0;9.4;6;2162
6.6;0.34;0.25;4.8;0.038;16.0;121.0;12.6;6;4309
7.0;0.45;0.34;19.8;0.04;12.0;67.0;11.0;6;3023
7.3;0.2;0.39;2.3;0.048;24.0;87.0;12.0;6;3171
7.1;0.18;0.39;14.5;0.051;48.0;156.0;9.1;5;3429
5.7;0.18;0.26;2.2;0.023;21.0;95.0;12.3;6;4246
7.0;0.22;0.31;2.7;0.03;41.0;136.0;12.7;7;420
6.4;0.28;0.36;1.3;0.053;28.0;186.0;10.8;5;3591
6.7;0.19;0.32;3.7;0.041;26.0;76.0;10.5;7;3992
7.4;0.16;0.3;13.7;0.056;33.0;168.0;8.7;7;4160
7.7;0.32;0.61;11.8;0.041;66.0;188.0;9.3;5;3616
7.3;0.19;0.27;13.9;0.057;45.0;155.0;8.8;8;4332
6.1;0.34;0.29;2.2;0.036;25.0;100.0;11.8;6;4890
6.1;0.36;0.27;2.1;0.035;16.0;100.0;11.5;7;310
6.9;0.36;0.34;4.2;0.018;57.0;119.0;12.7;9;876
5.9;0.14;0.25;4.5;0.027;34.0;140.0;10.8;6;635
7.7;0.31;0.23;2.0;0.069;29.0;134.0;9.8;5;3722
7.4;0.21;0.8;12.3;0.038;77.0;183.0;9.0;5;3066
6.5;0.29;0.42;10.6;0.042;66.0;202.0;9.5;6;2297
6.7;0.25;0.23;7.2;0.038;61.0;220.0;9.5;5;1149
7.0;0.15;0.38;2.2;0.047;33.0;96.0;10.4;8;1115
6.7;0.35;0.48;8.8;0.056;35.0;167.0;9.4;5;3605
5.8;0.35;0.29;3.2;0.034;41.0;151.0;11.6333333333333;7;4674
6.9;0.24;0.33;12.5;0.046;47.0;153.0;9.6;6;797
8.9;0.32;0.49;1.6;0.05;17.0;131.0;9.4;5;1621
7.2;0.08;0.49;1.3;0.05;18.0;148.0;10.2;6;1475
6.8;0.29;0.5;13.3;0.053;48.0;194.0;9.4;5;427
7.1;0.21;0.3;1.4;0.037;45.0;143.0;9.9;6;1188
6.8;0.26;0.29;16.95;0.056;48.0;179.0;9.6;5;1707
7.2;0.13;0.46;1.3;0.044;48.0;111.0;11.1;5;3216
8.4;0.16;0.33;1.5;0.033;16.0;98.0;9.7;6;1290
7.5;0.24;0.62;10.6;0.045;51.0;153.0;8.8;5;2317
6.7;0.3;0.74;5.0;0.038;35.0;157.0;9.9;5;1569
7.9;0.3;0.27;8.5;0.036;20.0;112.0;11.7;6;1912
7.4;0.24;0.29;10.1;0.05;21.0;105.0;9.5;5;75
8.6;0.485;0.29;4.1;0.026;19.0;101.0;12.4;5;2054
7.3;0.28;0.36;12.7;0.04;38.0;140.0;9.6;6;411
7.7;0.24;0.31;1.3;0.047;33.0;106.0;10.8;6;2179
6.4;0.15;0.4;1.3;0.053;61.0;146.0;11.0;6;3695
7.3;0.23;0.24;0.9;0.031;29.0;86.0;12.2;6;3455
7.3;0.26;0.53;12.7;0.047;60.5;156.0;9.1;6;4535
6.0;0.25;0.28;2.2;0.026;54.0;126.0;12.9;8;442
6.3;0.32;0.26;12.0;0.049;63.0;170.0;9.9;6;3793
7.0;0.19;0.23;5.7;0.123;27.0;104.0;9.4;6;1839
8.0;0.26;0.28;4.8;0.05;34.0;150.0;10.0;6;2437
6.7;0.18;0.3;6.4;0.048;40.0;251.0;10.0;5;1338
6.0;0.22;0.28;1.1;0.034;47.0;90.0;12.6;6;3363
5.2;0.17;0.27;0.7;0.03;11.0;68.0;9.8;5;2936
6.0;0.28;0.49;6.8;0.048;61.0;222.0;9.3;5;801
7.0;0.12;0.29;10.3;0.039;41.0;98.0;9.8;8;2939
6.6;0.32;0.24;1.3;0.06;42.5;204.0;9.2;5;2364
6.7;0.21;0.49;1.4;0.047;30.0;114.0;10.8;7;1662
6.5;0.38;0.53;1.4;0.142;5.0;69.0;10.1;4;4213
5.4;0.3;0.3;1.2;0.029;25.0;93.0;13.6;7;3673
6.6;0.35;0.19;10.5;0.06;15.0;82.0;9.9;4;4074
7.0;0.32;0.24;6.2;0.048;31.0;228.0;9.4;6;627
6.6;0.24;0.27;1.4;0.057;33.0;152.0;9.5;6;43
6.7;0.24;0.41;8.7;0.036;29.0;148.0;9.9;6;543
5.6;0.16;0.27;1.4;0.044;53.0;168.0;10.1;6;146
7.8;0.3;0.29;16.85;0.054;23.0;135.0;9.0;6;1156
6.5;0.22;0.28;3.7;0.059;29.0;151.0;12.1;7;3332
6.4;0.26;0.22;5.1;0.037;23.0;131.0;10.1;5;1244
5.9;0.14;0.2;1.6;0.04;26.0;114.0;11.4;6;4248
7.5;0.21;0.68;10.9;0.045;38.0;133.0;8.7;5;613
